employer_norm,candidate_group,score,decision
BRAIN,BAIN,88,
THE BOSTON CONSULTING,BOSTON CONSULTING GROUP,89,
GOLDMAN SACHS AND,GOLDMAN SACHS,91,
BUXTON CONSULTING,BOSTON CONSULTING GROUP,88,
ALPHAPET,ALPHABET / GOOGLE,87,
JPMORGAN CHASE AND,JPMORGAN CHASE,87,
GOLDMAN SACHS AND,GOLDMAN SACHS,91,
JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY,JOHNS HOPKINS UNIVERSITY,87,
MACROSOFT,MICROSOFT,88,
JPMORGAN CHASE AND,JPMORGAN CHASE,87,
MACROSOFT,MICROSOFT,88,
JPMORGAN CHASE AND,JPMORGAN CHASE,87,
JPMORGAN CHASE AND,JPMORGAN CHASE,87,
BUXTON CONSULTING,BOSTON CONSULTING GROUP,88,
THE BOSTON CONSULTING,BOSTON CONSULTING GROUP,89,
JPMORGAN CHASE AND,JPMORGAN CHASE,87,
GOLDMAN SACHS AND,GOLDMAN SACHS,91,
GOLDMAN SACHS AND,GOLDMAN SACHS,91,
AMAZON COM CA,AMAZON,86,
BUXTON CONSULTING,BOSTON CONSULTING GROUP,88,
BRAIN,BAIN,88,
JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY,JOHNS HOPKINS UNIVERSITY,87,
MACROSOFT,MICROSOFT,88,
JPMORGAN CHASE AND,JPMORGAN CHASE,87,
JPMORGAN CHASE AND,JPMORGAN CHASE,87,
THE BOSTON CONSULTING,BOSTON CONSULTING GROUP,89,
JPMORGAN CHASE AND,JPMORGAN CHASE,87,
GOLDMAN SACHS AND,GOLDMAN SACHS,91,
BRAIN,BAIN,88,
BSQUARE,BLOCK / SQUARE,92,
BUXTON CONSULTING,BOSTON CONSULTING GROUP,88,
BRAIN,BAIN,88,
DELTA CONSULTING,DELOITTE,85,
THE BOSTON CONSULTING,BOSTON CONSULTING GROUP,89,
JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY,JOHNS HOPKINS UNIVERSITY,87,
PMSQUARE,BLOCK / SQUARE,85,
MACROSOFT,MICROSOFT,88,
JPMORGAN CHASE AND,JPMORGAN CHASE,87,
GOLDMAN SACHS AND,GOLDMAN SACHS,91,
A SQUARE,BLOCK / SQUARE,85,
JPMORGAN CHASE AND,JPMORGAN CHASE,87,
MACROSOFT,MICROSOFT,88,
A SQUARE,BLOCK / SQUARE,85,
BRAIN,BAIN,88,
BRATHON CONSULTING,BOSTON CONSULTING GROUP,85,
JPMORGAN CHASE AND,JPMORGAN CHASE,87,
AMAZON COM CA,AMAZON,86,
JPMORGAN CHASE AND,JPMORGAN CHASE,87,
MACROSOFT,MICROSOFT,88,
GOLDMAN SACHS AND,GOLDMAN SACHS,91,
